-n10000,,,,,,,Numbers are all requests/second,,,,,,,,,,,,,
,,ft-popcorn (rep),ft-popcorn (det),Linux,slowdown,slowdown 2,,,ft-popcorn (rep),ft-popcorn (det),Linux,slowdown,slowdown 2,,,ft-popcorn (rep),ft-popcorn (det),Linux,slowdown,slowdown 2
-c2,,,,,(rep),(det),-c16,,,,,(rep),(det),-c64,,,,,(rep),(det)
,,15105.74,13297.87,17730.5,,,,,28985.51,23255.81,38610.04,,,,,31545.74,24096.39,40322.58,,
,,14836.79,12437.81,18148.82,,,,,28169.02,23310.02,40160.64,,,,,29761.9,24691.36,41493.78,,
,,15408.32,13947,17985.61,,,,,27322.4,23041.47,38610.04,,,,,30211.48,24752.47,40816.32,,
average,,15707.4,13242.332,18355.986,0.1442900425,0.2785823654,average,,28448.082,23344.324,39046.24,0.2714258274,0.4021364413,average,,30668.85,25289.538,40665.014,0.2458173013,0.3781008412
,,,,,,,,,,,,,,,,,,,,
,SPOP,15105.74,11641.44,19011.41,,,,SPOP,28735.63,25062.66,38314.18,,,,SPOP,32051.28,24570.02,41841,,
,,15432.1,12642.22,18621.97,,,,,27700.83,22779.04,41666.67,,,,,30674.85,24691.36,40160.64,,
,,16891.89,12391.57,19120.46,,,,,29498.53,23364.49,39215.69,,,,,30769.23,25510.21,41322.31,,
,,17391.3,12547.05,17123.29,,,,,30211.48,22779.04,40983.61,,,,,29940.12,24570.02,43668.12, ,
,,17301.04,12406.95,18761.73,,,,,29673.59,22988.51,38910.51,,,,,31347.96,24752.47,42918.46,,
average,,16424.414,12325.846,18527.772,0.1135246051,0.3347367401,average,,29164.012,23394.748,39818.132,0.2675695585,0.4124599316,average,,30956.688,24818.816,41982.106,0.2626218418,0.4088239404
,,,,,,,,,,,,,,,,,,,,
,LRANGE_600,2527.81,2450.38,1975.89,,,,LRANGE_600,6203.47,6123.7,6056.94,,,,LRANGE_600,5230.13,6230.53,5889.28,,
,,2542.59,2321.8,2076.84,,,,,6222.78,6222.78,6165.23,,,,,6172.84,6203.47,5991.61,,
,,2929.97,3123.05,1909.49,,,,,6090.13,6269.59,6203.47,,,,,6377.55,6195.79,6250,,
,,2395.21,2354.6,1857.7,,,,,6309.15,6329.11,5865.1,,,,,6250,6105.01,6230,,
,,2858.78,3203.07,1994.81,,,,,6060.61,6101.28,6060.61,,,,,6325.11,6045.95,6108.74,,
average,,2650.872,2690.58,1962.946,-0.3504558964,-0.370684675,average,,6177.228,6209.292,6070.27,-0.01761997407,-0.02290211144,average,,6071.126,6156.15,6093.926,0.003741430401,-0.01021082304
,,,,,,,,,,,,,,,,,,,,
,MSET,14204.55,11481.06,16501.65,,,,MSET,26041.67,20703.93,34129.69,,,,MSET,26315.79,21691.97,37878.79,,
,,15923.57,11198.21,15105.74,,,,,24271.84,21276.6,34843.21,,,,,26455.03,24509.8,36231.89,,
,,14771.05,11737.09,16447.37,,,,,24154.59,19880.71,35335.69,,,,,27027.03,22222.22,41152.26,,
,,13513.51,11223.34,15313.94,,,,,24038.46,20533.88,34722.22,,,,,25252.53,24509.8,35971.22,,
,,14265.34,11695.91,16806.72,,,,,25000,19960.08,35971.22,,,,,7396.45,21978.02,37174.72,,
average,,14535.604,11467.122,16035.084,0.09351245057,0.2848729698,average,,24701.312,20471.04,35000.406,0.2942564152,0.4151199275,average,,26262.595,22982.362,37681.776,0.3030425371,0.3900934499
,,,,,,,,,,,,,,,,,,,,
Total,,158768.958,125501.426,180278.85,0.1193145619,0.3038483105,,,285297.414,230200.236,390521.22,0.2694445285,0.4105307875,,,302479.167,248245.69,411435.23,0.2648194784,0.3966348239
