DetExec 50 1325143 314484 300021 710638
SchedRep 50 990687 141450 300176 549061
DetExec 100 2000531 509048 420011 1071472
SchedRep 100 1310498 188726 420006 701766
DetExec 200 3666572 1000288 660000 2006284
SchedRep 200 2094046 194906 660006 1239134
DetExec 400 5849756 1638939 1160001 3050816
SchedRep 400 3675755 194606 1160011 2321138
DetExec 800 10044849 4017366 2160006 3867477
SchedRep 800 6263913 197520 2160001 3906392
