DetExec 2 190 190
SchedRep 2 5380 370
DetExec 4 98 98
SchedRep 4 5156 326
DetExec 8 52 52
SchedRep 8 4881 276
DetExec 16 28 28
SchedRep 16 4534 218
DetExec 20 
SchedRep 20 4174 158
DetExec 24 20 20
SchedRep 24 4207 158
